address,balance,label,total_tx,mean,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0x434a8637c93868106ee2b633cf524e02bf63a037,20.74,jp_kr_cn,2677,1.431489406556349,162,289,286,139,101,92,88,170,187,227,200,204,154,113,94,46,20,20,4,14,16,9,22,20
0x543b4adf6d4ca109da2c55870c5d09d896737469,593.6792329411214,europe,441,0.2411465128879875,17,11,11,13,16,10,6,10,14,5,10,49,9,7,32,22,31,60,25,23,16,10,22,12
0x4ee185fc27811ea6d436495ded42e0f57f5d3a41,50.498084228065174,europe,598,0.17392750718065436,0,0,0,2,5,7,4,38,37,63,35,36,48,51,31,27,19,44,48,55,33,13,2,0
0x01eab665bf562df4b8da02871bb0d007e53acf49,1.544476580360637,jp_kr_cn,78,4.292181813471923,0,1,1,3,27,3,0,0,2,2,4,1,9,8,5,4,4,1,3,0,0,0,0,0
0x545425f9686b56078da3bfac5f9f25bb287b1291,12.15208837844424,europe,4056,1.9504046597184241,53,26,13,14,43,174,182,234,288,203,291,196,156,227,155,204,157,149,199,185,239,301,255,112
0x1aff077c794004414a6a09b61a7785489fbe37db,0.0,southern_asia,42,0.00855372026230069,0,0,0,0,0,0,7,1,13,0,0,0,0,0,0,1,6,2,9,0,1,0,2,0
0x9113ba3516dfb0fef832cd02a45fbad786d2310f,2.938548587106226,europe,64,0.6530288624821822,0,0,0,1,0,0,1,0,0,4,12,2,4,1,3,9,5,3,8,10,1,0,0,0
0x0b75a54c16015aa6e738ead28047ec57bd733d38,0.21781983039745623,southeast_asia,25,0.1343141464249685,2,0,1,0,0,0,0,0,1,0,1,0,4,1,0,0,0,0,2,12,0,1,0,0
0x61fdd4febf980bd1ac7d3653bb64463305b20941,5.172528642435316,western_asia,94,2.0531481519178403,0,0,0,0,0,0,0,18,11,2,1,18,13,6,5,0,0,12,2,6,0,0,0,0
0xc0c585a420e28236ea041369a643ec0032ec60c9,3.1494619587250146,europe,314,0.2408942513203908,0,0,0,0,0,2,7,11,8,32,21,39,23,8,26,13,26,15,9,13,11,16,12,22
0xef111e0b94b305c1cf64d0197becb65639ad8d26,1.8070666067739416,europe,587,0.2903235521795587,31,48,38,11,26,13,0,10,9,4,16,5,1,5,17,15,15,43,40,112,28,12,44,44
0xffd46d72ec12ff5b1a97c9f88326df8e672fa59a,2.1100000065179327,southeast_asia,281,1.1836377636725985,0,1,10,18,28,14,15,7,5,24,57,3,4,16,8,15,35,16,2,2,1,0,0,0
0x30edbed7653f89b18d11ac3d5a4e9069693a791b,43.602826072630336,jp_kr_cn,121,5.490670732816529,8,9,5,6,6,6,3,3,9,7,6,7,13,1,4,5,16,5,0,0,0,2,0,0
0x1d638f29b3d9b95f06289d75fc7409a4daa146c1,0.5087338634963681,western_asia,698,0.6004880109494548,11,8,4,5,4,0,2,1,1,0,4,6,21,28,56,78,103,78,67,67,62,50,31,11
0x45cef20a3ab9a806851d19783a727c04b23303af,272.7135341567687,jp_kr_cn,4168,6.336326781445712,37,0,76,42,342,229,275,443,246,117,123,222,339,177,97,455,671,216,55,3,1,0,0,2
0x4b359329c5ce4cabff9483eddf2f0c270aa05f54,10.855977439500045,southern_asia,694,0.14265900498155926,9,28,94,193,53,19,11,9,30,16,12,1,3,9,14,41,44,56,24,10,13,0,0,5
0x56abbbf288e04a3321d53a014db2c5741e76cf27,4.212657989912223,southeast_asia,1690,0.033158108295371,52,185,206,134,57,44,66,131,87,23,52,162,81,42,50,99,84,36,28,7,63,0,0,1
0xdd5e4835cab0cb59e9360f3461587abb87e555df,5.5068482977311035,europe,257,9.344958594136996,0,0,0,0,0,0,4,3,23,9,19,7,9,16,1,6,11,17,13,40,46,21,11,1
0xcf0c23660bce7af0cc2c10e990cde6400bc92341,1.8585451844488783,europe,278,0.506380203623914,1,1,2,5,4,0,0,10,0,0,7,11,22,14,15,16,39,45,44,12,18,3,8,1
